fips,County Population,Total Elderly Count,Elderly per Capita,Maskless per Capita,ICU Beds,Rate of Change,Density per square mile
05065,13629,3558,0.26106097292538,0.086,0,9.39,23.6
05067,16719,3055,0.182726239607632,0.116,0,32.29,28.4
05069,66824,12014,0.179785705734467,0.042,34,47.74,88.9
05071,26578,4485,0.16874858905862,0.144,8,17.58,38.7
05073,6624,1637,0.247131642512077,0.12,0,2.42,14.5
05075,16406,3268,0.199195416311106,0.085,0,12.68,29.6
05077,8857,1787,0.201761318730947,0.103,0,7.52,17.3
05079,13024,2070,0.158937346437346,0.035,0,11.06,25.2
05081,12259,2567,0.209397177583816,0.074,0,5.48,24.7
05083,21466,4396,0.204788968601509,0.148,0,14.32,31.6
05085,73309,10116,0.137991242548664,0.048,0,43.71,88.7
05087,16576,3211,0.193713803088803,0.075,0,12.42,18.8
05089,16694,4858,0.291002755481011,0.171,0,5.84,27.9
05091,43257,7440,0.171995284000277,0.064,0,18.42,69.5
05093,40651,6116,0.15045140340951,0.033,5,36.39,51.6
05095,6701,1612,0.240561110282047,0.068,0,5.32,13.4
05097,8986,2426,0.269975517471623,0.081,0,5.74,12.2
05099,8252,1732,0.209888511875909,0.143,0,4.06,14.6
05101,7753,2112,0.272410679736876,0.107,0,3.32,10.1
05103,23382,4933,0.210974253699427,0.151,8,18.58,35.6
05105,10455,2142,0.204878048780488,0.098,0,5.65,18.9
05107,17782,3468,0.195028680688337,0.052,6,9.81,31.3
05109,10718,2195,0.204795670834111,0.064,0,9.52,18.8
05111,23528,4321,0.183653519211153,0.077,0,23.13,32.4
05113,19964,4717,0.236275295531958,0.18,6,13.71,24.1
05115,64072,10361,0.161708702709452,0.082,11,54.42,76.0
05117,8062,1928,0.239146613743488,0.062,0,5.94,13.4
05119,391911,63023,0.160809469496901,0.028,209,243.94,503.8
05121,17958,3545,0.197405056242343,0.051,2,14.45,27.6
05123,24994,4208,0.168360406497559,0.087,6,21.32,44.5
05125,122437,22227,0.181538260493152,0.066,16,82.81,148.0
05127,10281,2205,0.21447330026262,0.155,0,6.45,12.6
05129,7881,2048,0.259865499302119,0.1,0,6.26,12.3
05131,127827,20986,0.164175017797492,0.121,69,77.16,236.4
05133,17007,2542,0.149467866172752,0.12,0,11.06,30.2
05135,17442,4604,0.263960554982227,0.067,0,13.1,28.6
05137,12506,3489,0.278986086678394,0.067,0,9.0,20.4
05139,38682,7119,0.184039087947883,0.116,16,27.19,40.1
05141,16545,4416,0.266908431550317,0.033,0,11.19,24.4
05143,239187,28919,0.120905400377111,0.034,61,184.77,215.6
05145,78753,13195,0.167549172729928,0.026,13,53.68,74.5
05147,6320,1476,0.233544303797468,0.059,0,5.06,12.4
05149,21341,3858,0.180778782624994,0.116,0,23.32,23.9
06001,1671329,238763,0.142858168559272,0.019,282,697.35,2043.6
06003,1129,298,0.263950398582817,0.025,0,0.77,1.6
06005,39752,10945,0.275332058764339,0.045,6,59.97,64.1
06007,219186,40228,0.183533619847983,0.015,43,103.06,134.4
06009,45905,12866,0.28027447990415,0.045,0,20.42,44.7
06011,21547,3214,0.149162296375365,0.027,0,19.48,18.6
06013,1153526,187704,0.162721949917037,0.018,163,509.13,1465.2
06015,27812,5123,0.184201064288796,0.01,6,13.58,28.4
06017,192843,42304,0.21937016121923,0.028,28,100.06,106.0
06019,999101,125435,0.125547867532912,0.021,164,853.03,156.2
06021,28393,4476,0.157644489839045,0.028,0,16.26,21.4
06023,135558,25189,0.185817141002375,0.042,32,27.26,37.7
06025,181215,24137,0.133195375658748,0.001,28,190.42,41.8
06027,18039,4228,0.234381063251843,0.033,4,8.61,1.8
06029,900202,101155,0.112369223796437,0.022,144,850.16,103.3
06031,152940,16028,0.104799267686675,0.075,22,152.68,110.1
06033,64386,14849,0.230624669959308,0.003,8,28.32,51.5
06035,30573,4738,0.154973342491741,0.064,0,80.94,7.7
06037,10039107,1413753,0.140824577325453,0.021,2126,11690.32,2419.6
06039,157327,22573,0.143478233233965,0.019,10,133.71,70.6
06041,258826,59404,0.229513263737028,0.011,66,63.23,485.1
06043,17203,4974,0.289135615880951,0.01,0,3.52,12.6
06045,86749,20025,0.230838395831652,0.002,14,29.87,25.1
06047,277680,31636,0.113929703255546,0.026,24,231.06,132.2
06049,8841,2431,0.274968894921389,0.068,0,3.84,2.5
06051,14444,2330,0.161312655774024,0.011,2,10.26,4.7
06053,434061,60731,0.139913514459949,0.023,27,387.81,126.5
06055,137744,27157,0.197155592984086,0.017,32,85.35,182.4
06057,99755,28306,0.283755200240589,0.003,10,38.55,103.1
06059,3175692,485568,0.152901477851127,0.023,651,2727.9,3807.7
06061,398329,79390,0.199307607530458,0.012,70,228.74,247.6
06063,18807,5437,0.289094486095603,0.063,0,6.65,7.8
06065,2470546,365942,0.148121913131753,0.026,351,2994.55,303.8
06067,1552058,224882,0.144892781068749,0.025,396,856.19,1470.8
06069,62808,8252,0.131384537001656,0.018,8,56.26,39.8
06071,2180085,260520,0.11949992775511,0.027,410,3234.55,101.5
06073,3338330,484452,0.145118068016044,0.017,570,2328.19,735.8
06075,881549,141770,0.16081919439532,0.017,337,244.68,17179.2
06077,762148,99781,0.13092076604544,0.054,121,629.65,492.6
06079,283111,59051,0.208578967260191,0.025,46,133.71,81.7
06081,766573,126877,0.165511960374289,0.016,131,321.77,1602.2
06083,446499,70125,0.157055222968025,0.015,82,185.81,155.0
06085,1927852,268207,0.139122194027342,0.015,313,1110.39,1381.0
06087,273213,47217,0.172821205433124,0.008,22,133.52,589.4
06089,180080,38069,0.211400488671701,0.095,81,94.45,46.9
